sa4_name,sa3_name,suburb_name,2023,2024,2023-24,2023-24%,natural_increase,net_internal_migration,net_overseas_migration,area,pop_dense_2024
Melbourne - West,Wyndham,Wyndham Vale - South,13887,14163,276,2,152,-84,208,5,2856.9
Mornington Peninsula,Frankston,Carrum Downs,22888,23342,454,2,165,71,218,20.3,1149.4
Mornington Peninsula,Frankston,Frankston,24162,24792,630,2.6,113,219,298,11.6,2132.8
Mornington Peninsula,Frankston,Frankston North,19754,19841,87,0.4,54,-140,173,13.2,1498.8
Mornington Peninsula,Frankston,Frankston South,19156,19214,58,0.3,-25,-95,178,14.6,1319.6
Mornington Peninsula,Frankston,Langwarrin,25559,25747,188,0.7,157,-115,146,37.6,684.4
Mornington Peninsula,Frankston,Seaford,17761,18072,311,1.8,127,15,169,12.4,1453.7
Mornington Peninsula,Frankston,Skye - Sandhurst,13528,13607,79,0.6,107,-162,134,19.8,686.7
Mornington Peninsula,Mornington Peninsula,Dromana,13574,13785,211,1.6,-26,148,89,45.1,305.9
Mornington Peninsula,Mornington Peninsula,Flinders,6015,6065,50,0.8,-15,6,59,287.4,21.1
Mornington Peninsula,Mornington Peninsula,Hastings - Somers,23971,23960,-11,0,67,-193,115,108.9,220.1
Mornington Peninsula,Mornington Peninsula,Mount Eliza,18880,19009,129,0.7,-31,-78,238,23.2,819.1
Mornington Peninsula,Mornington Peninsula,Mount Martha,20088,20166,78,0.4,-24,-76,178,30.2,667.5
Mornington Peninsula,Mornington Peninsula,Point Nepean,19948,20258,310,1.6,-44,219,135,67.2,301.5
Mornington Peninsula,Mornington Peninsula,Rosebud - McCrae,23109,23281,172,0.7,-156,194,134,23.8,978.4
Mornington Peninsula,Mornington Peninsula,Somerville,18807,18972,165,0.9,49,20,96,117.4,161.7
Mornington Peninsula,Mornington Peninsula,Mornington - East,15075,15111,36,0.2,-91,14,113,14.7,1028.8
Mornington Peninsula,Mornington Peninsula,Mornington - West,10778,10843,65,0.6,-101,56,110,6.4,1693.1
North West,Grampians,Ararat,8339,8328,-11,-0.1,-24,-56,69,161.2,51.7
North West,Grampians,Ararat Surrounds,3161,3178,17,0.5,-6,1,22,4023.2,0.8
North West,Grampians,Horsham,16875,16956,81,0.5,46,-34,69,83.1,204.1
North West,Grampians,Horsham Surrounds,3466,3459,-7,-0.2,20,-35,8,4251.5,0.8
North West,Grampians,Nhill Region,6795,6725,-70,-1,-51,-45,26,11042.8,0.6
North West,Grampians,St Arnaud,3434,3406,-28,-0.8,-13,-24,9,3008.6,1.1
